,timestamp,date_time,time_diff,date,time,month
0,2025-03-15 02:10,2025-03-15 02:10:00,,2025-03-15,02:10:00,3
1,2025-03-15 02:10,2025-03-15 02:10:00,0 days 00:00:00,2025-03-15,02:10:00,3
2,2025-03-15 02:10,2025-03-15 02:10:00,0 days 00:00:00,2025-03-15,02:10:00,3
13,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:01:00,2025-03-15,02:11:00,3
12,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
11,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
10,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
9,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
8,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
7,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
6,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
5,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
4,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
3,2025-03-15 02:11,2025-03-15 02:11:00,0 days 00:00:00,2025-03-15,02:11:00,3
14,2025-03-15 02:12,2025-03-15 02:12:00,0 days 00:01:00,2025-03-15,02:12:00,3
15,2025-03-15 02:16,2025-03-15 02:16:00,0 days 00:04:00,2025-03-15,02:16:00,3
19,2025-03-15 02:19,2025-03-15 02:19:00,0 days 00:03:00,2025-03-15,02:19:00,3
18,2025-03-15 02:19,2025-03-15 02:19:00,0 days 00:00:00,2025-03-15,02:19:00,3
16,2025-03-15 02:19,2025-03-15 02:19:00,0 days 00:00:00,2025-03-15,02:19:00,3
17,2025-03-15 02:19,2025-03-15 02:19:00,0 days 00:00:00,2025-03-15,02:19:00,3
20,2025-03-15 02:20,2025-03-15 02:20:00,0 days 00:01:00,2025-03-15,02:20:00,3
21,2025-03-15 02:20,2025-03-15 02:20:00,0 days 00:00:00,2025-03-15,02:20:00,3
27,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:02:00,2025-03-15,02:22:00,3
22,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:00:00,2025-03-15,02:22:00,3
23,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:00:00,2025-03-15,02:22:00,3
24,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:00:00,2025-03-15,02:22:00,3
25,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:00:00,2025-03-15,02:22:00,3
26,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:00:00,2025-03-15,02:22:00,3
28,2025-03-15 02:22,2025-03-15 02:22:00,0 days 00:00:00,2025-03-15,02:22:00,3
34,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:01:00,2025-03-15,02:23:00,3
33,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:00:00,2025-03-15,02:23:00,3
32,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:00:00,2025-03-15,02:23:00,3
35,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:00:00,2025-03-15,02:23:00,3
30,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:00:00,2025-03-15,02:23:00,3
29,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:00:00,2025-03-15,02:23:00,3
31,2025-03-15 02:23,2025-03-15 02:23:00,0 days 00:00:00,2025-03-15,02:23:00,3
