Entity,Code,Year,unknown_gear,other_gear,longline,gillnet,small_scale,purse_seine,pelagic trawl,bottom_trawl,unknown_gear,other_gear,longline,gillnet,small_scale,purse_seine,pelagic trawl,bottom_trawl
World,OWID_WRL,1950,1135520.017,5611348.239,676257.211,1120425.835,7669648.137,3688878.091,1578129.095,6647678.197,1135520.017,5611348.239,676257.211,1120425.835,7669648.137,3688878.091,1578129.095,6647678.197
World,OWID_WRL,1951,1367037.471,5849082.212,688972.3635,1225727.644,8350990.921,3945469.027,1910049.218,6942004.814,1367037.471,5849082.212,688972.3635,1225727.644,8350990.921,3945469.027,1910049.218,6942004.814
World,OWID_WRL,1952,1419353.162,6140895.013,763147.1952,1252516.373,8475154.117,4312867.361,1968274.208,7922492.454,1419353.162,6140895.013,763147.1952,1252516.373,8475154.117,4312867.361,1968274.208,7922492.454
World,OWID_WRL,1953,1520077.746,6376196.441,810689.3551,1285729.317,8671445.761,4529348.903,2002819.389,7978912.472,1520077.746,6376196.441,810689.3551,1285729.317,8671445.761,4529348.903,2002819.389,7978912.472
World,OWID_WRL,1954,1692873.476,6793681.406,864504.4959,1481558.559,9258341.606,4537513.282,2073000.649,9382986.702,1692873.476,6793681.406,864504.4959,1481558.559,9258341.606,4537513.282,2073000.649,9382986.702
World,OWID_WRL,1955,2114739.242,7099910.263,1000273.275,1486084.991,9568515.193,4861972.447,1988656.874,10604550.65,2114739.242,7099910.263,1000273.275,1486084.991,9568515.193,4861972.447,1988656.874,10604550.65
World,OWID_WRL,1956,2497335.535,7330886.589,1049299.928,1617574.621,10351479.87,5492371.994,1934180.326,10851154.96,2497335.535,7330886.589,1049299.928,1617574.621,10351479.87,5492371.994,1934180.326,10851154.96
World,OWID_WRL,1957,2668036.203,7297787.287,1071850.239,1496650.188,10581068.07,5632587.362,2088908.162,9940643.684,2668036.203,7297787.287,1071850.239,1496650.188,10581068.07,5632587.362,2088908.162,9940643.684
World,OWID_WRL,1958,2870761.506,7561083.432,1102973.667,880020.1976,10373740.32,6117748.104,2128799.099,10388518.36,2870761.506,7561083.432,1102973.667,880020.1976,10373740.32,6117748.104,2128799.099,10388518.36
World,OWID_WRL,1959,2816594.61,7520530.91,1306629.422,980144.1192,10716638.03,8108785.626,2035989.318,11532032.07,2816594.61,7520530.91,1306629.422,980144.1192,10716638.03,8108785.626,2035989.318,11532032.07
World,OWID_WRL,1960,2831089.634,7645239.041,1527017.434,1006369.337,11253007.98,9851634.954,1916342.285,13451530.4,2831089.634,7645239.041,1527017.434,1006369.337,11253007.98,9851634.954,1916342.285,13451530.4
World,OWID_WRL,1961,2641346.485,7441797.815,1556834.183,1146307.857,11368709.79,13202583.39,2020518.646,14808689.8,2641346.485,7441797.815,1556834.183,1146307.857,11368709.79,13202583.39,2020518.646,14808689.8
World,OWID_WRL,1962,2703672.613,7633324.058,1682042.303,1144987.042,11652935.51,15576834.52,2037342.276,15621272.74,2703672.613,7633324.058,1682042.303,1144987.042,11652935.51,15576834.52,2037342.276,15621272.74
World,OWID_WRL,1963,3066901.815,7805918.503,1815326.521,1122644.534,11937452.2,16163418.6,2375273.721,17662582.73,3066901.815,7805918.503,1815326.521,1122644.534,11937452.2,16163418.6,2375273.721,17662582.73
World,OWID_WRL,1964,3436017.984,7867139.926,1555912.802,1151545.85,12182593.74,20235022.1,2649714.052,17666978.79,3436017.984,7867139.926,1555912.802,1151545.85,12182593.74,20235022.1,2649714.052,17666978.79
World,OWID_WRL,1965,3797852.694,7955872.003,1617020.25,1223758.746,12598419.22,18690689.47,2841748.931,17809835.23,3797852.694,7955872.003,1617020.25,1223758.746,12598419.22,18690689.47,2841748.931,17809835.23
World,OWID_WRL,1966,3884563.487,8369551.84,1642631.638,1204126.117,12880048.77,22136535.89,2987371.985,19227777.76,3884563.487,8369551.84,1642631.638,1204126.117,12880048.77,22136535.89,2987371.985,19227777.76
World,OWID_WRL,1967,4312313.45,8423051.304,1693117.634,1184900.21,13118827.28,24497396.02,3743785.107,21445705.37,4312313.45,8423051.304,1693117.634,1184900.21,13118827.28,24497396.02,3743785.107,21445705.37
World,OWID_WRL,1968,4344790.431,8184410.104,1998545.962,1169591.534,13170772.01,26988574.87,4238256.564,23999929.87,4344790.431,8184410.104,1998545.962,1169591.534,13170772.01,26988574.87,4238256.564,23999929.87
World,OWID_WRL,1969,4555221.041,8371980.746,2019491.668,1134397.779,12942332.08,24205088.1,4139278.818,23725921.62,4555221.041,8371980.746,2019491.668,1134397.779,12942332.08,24205088.1,4139278.818,23725921.62
World,OWID_WRL,1970,5015145.281,9073696.81,2042514.472,1200567.784,13027400.31,28389472.68,4851890.609,24659066.52,5015145.281,9073696.81,2042514.472,1200567.784,13027400.31,28389472.68,4851890.609,24659066.52
World,OWID_WRL,1971,4751530.399,9222133.478,2038503.646,1254717.036,13196358.61,25982375.07,5181579.89,24988316.31,4751530.399,9222133.478,2038503.646,1254717.036,13196358.61,25982375.07,5181579.89,24988316.31
World,OWID_WRL,1972,4988250.511,9211803.425,2192608.375,1286384.069,13187108.44,17628516.59,5119906.619,26332219.94,4988250.511,9211803.425,2192608.375,1286384.069,13187108.44,17628516.59,5119906.619,26332219.94
World,OWID_WRL,1973,5479715.397,9573881.918,2245125.469,1349530.108,13787892.16,15359623.37,6025406.007,28115000.44,5479715.397,9573881.918,2245125.469,1349530.108,13787892.16,15359623.37,6025406.007,28115000.44
World,OWID_WRL,1974,6355765.496,9665694.644,2157020.012,1339371.461,13423864.83,18863431.9,6323457.785,28751554.87,6355765.496,9665694.644,2157020.012,1339371.461,13423864.83,18863431.9,6323457.785,28751554.87
World,OWID_WRL,1975,7511827.455,9548439.62,2123653.066,1391224.951,13393209.36,17964206.83,7131869.397,27542383.31,7511827.455,9548439.62,2123653.066,1391224.951,13393209.36,17964206.83,7131869.397,27542383.31
World,OWID_WRL,1976,7500707.118,10140805.11,2198638.703,1466719.242,13277174.86,20860161.45,7660721.313,26858119.1,7500707.118,10140805.11,2198638.703,1466719.242,13277174.86,20860161.45,7660721.313,26858119.1
World,OWID_WRL,1977,6191067.458,9925874.894,2116758.296,1378163.723,14153800.13,20626451.9,7954598.706,27082980.87,6191067.458,9925874.894,2116758.296,1378163.723,14153800.13,20626451.9,7954598.706,27082980.87
World,OWID_WRL,1978,5906724.188,10483972.73,2262218.241,1460595.185,14445605.74,23754920.69,7213974.111,27669905.33,5906724.188,10483972.73,2262218.241,1460595.185,14445605.74,23754920.69,7213974.111,27669905.33
World,OWID_WRL,1979,6252590.318,10216983.04,2296638.753,1459085.539,14546949.29,22484984.19,7304310.41,25752077.97,6252590.318,10216983.04,2296638.753,1459085.539,14546949.29,22484984.19,7304310.41,25752077.97
World,OWID_WRL,1980,6703270.177,10477292.33,2241797.203,1533648.956,14410048.91,21818624.47,7788299.304,25032006.83,6703270.177,10477292.33,2241797.203,1533648.956,14410048.91,21818624.47,7788299.304,25032006.83
